,ch0,ch1,ch2,ch3
0,4.4821762e-05,0.000176168047,3.8624741e-05,0.0
1,4.4821762e-05,0.000176168047,3.8624741e-05,0.0
2,4.4857152e-05,0.00017615780200000002,3.8656406e-05,3.8861999999999995e-05
3,4.4904649e-05,0.000176211819,3.8749537999999996e-05,3.8385e-05
4,5.235523e-05,0.00018128380199999999,3.8671307e-05,3.8385e-05
5,5.5864453000000005e-05,0.00019041448799999997,3.9515086e-05,4.675332500000001e-05
6,7.5406395e-05,0.000206627883,4.6407804e-05,6.5418892e-05
7,7.0035458e-05,0.00019718054700000002,4.2006373000000004e-05,6.126984999999999e-05
8,5.3746625999999996e-05,0.000183455646,4.5399182e-05,5.3499825e-05
9,4.8009679e-05,0.000183987431,5.4518692e-05,4.8407353000000005e-05
10,4.8716553000000005e-05,0.000183678232,4.2324885999999994e-05,4.0193088e-05
11,3.4549274e-05,0.00017041526699999998,4.0660612e-05,3.6646612e-05
12,2.8034672e-05,0.00015646312400000002,3.7522987e-05,3.1417236e-05
13,2.5557354e-05,0.000150793232,2.3369677e-05,1.7466024e-05
14,1.8123536999999998e-05,0.00013967882799999998,2.0740554000000003e-05,1.7466024e-05
15,1.7848797e-05,0.000140924007,2.0666048e-05,3.8985160000000005e-06
16,2.0498409999999997e-05,0.000145284459,1.9045546999999998e-05,7.1041290000000005e-06
17,2.1108426e-05,0.000143816695,1.9553117e-05,1.2317672e-05
18,1.8070452e-05,0.000140921213,1.9553117e-05,1.0504387e-05
19,1.7466955e-05,0.000140349381,1.7455779e-05,8.401461e-06
20,2.0054169e-05,0.000142928213,1.7037615000000002e-05,6.798655e-06
21,1.8876046e-05,0.000144156627,1.8450432e-05,7.700175000000001e-06
22,1.8876046e-05,0.000144156627,1.8450432e-05,7.700175000000001e-06
23,1.756195e-05,0.000143357553,1.8123536999999998e-05,7.700175000000001e-06
24,1.8731691e-05,0.000143219717,1.7147510999999998e-05,8.900650000000001e-06
25,1.9323081e-05,0.00014303438399999998,1.7552637e-05,8.983538e-06
26,1.9459985e-05,0.000143638812,1.8043444e-05,8.039176e-06
27,1.8779188e-05,0.000142851844,1.9900501e-05,7.570721e-06
67,1.8658116e-05,0.000142775476,1.8569640999999998e-05,8.413568000000001e-06
68,1.8978491e-05,0.000142913312,1.8456951e-05,8.206815e-06
69,1.8795021e-05,0.00014296173999999999,1.8483028e-05,8.360483e-06
70,1.8978491e-05,0.000143004581,1.8378720000000002e-05,8.360483e-06
71,1.8834136e-05,0.000142909586,1.8569640999999998e-05,8.366071e-06
72,1.8708408e-05,0.00014295149600000002,1.828745e-05,8.077361e-06
73,1.8897466e-05,0.000142846256,1.8502586e-05,8.077361e-06
