,ch0,ch1,ch2,ch3
-5,4.2493455e-05,0.000181850977,3.6513433e-05,4.22e-05
-5,4.2493455e-05,0.000181850977,3.6675483e-05,4.22e-05
-4,4.2413361e-05,0.000181850977,3.6467798e-05,4.3869e-05
-3,4.2192638e-05,0.000181595795,3.6467798e-05,4.3869e-05
-2,4.2388216e-05,0.000181864947,3.6496669e-05,3.8207509e-05
-1,4.2166561e-05,0.000181637704,3.6496669e-05,3.8207509e-05
0,4.2465515e-05,0.000181967393,3.663078e-05,3.8309023e-05
1,4.2324886e-05,0.000181593932,3.649015e-05,3.8329512e-05
2,4.2377971e-05,0.000181823038,3.6620535e-05,3.8417056e-05
2,4.2377971e-05,0.000181823038,3.6620535e-05,3.8417056e-05
3,4.2249449e-05,0.000181633979,3.650412e-05,3.8417056e-05
4,4.2428263e-05,0.000181857497,3.6575831e-05,3.8409606e-05
5,4.2170286e-05,0.000181541778,3.6641024e-05,3.8242899e-05
6,4.2370521e-05,0.000181764364,3.6735088e-05,3.8273633e-05
7,4.226435e-05,0.000181774609,3.6397018e-05,3.8269907e-05
8,4.2374246e-05,0.000181693584,3.6552548e-05,3.8410537e-05
8,4.2374246e-05,0.000181693584,3.6552548e-05,3.8410537e-05
9,4.2309985e-05,0.0001815008,3.6346726e-05,3.8114376e-05
11,4.2325817e-05,0.00018161349,3.6482699e-05,3.8376078e-05
12,4.2375177e-05,0.000181963667,3.6735088e-05,3.8310885e-05
12,4.2375177e-05,0.000181963667,3.6735088e-05,3.8310885e-05
13,4.2336993e-05,0.000181579031,3.6404468e-05,3.81032e-05
13,4.2336993e-05,0.000181579031,3.6404468e-05,3.81032e-05
14,4.2466447e-05,0.00018198695,3.6404468e-05,3.81032e-05
15,4.2487867e-05,0.000181617215,3.6327168e-05,3.8205646e-05
16,4.227832e-05,0.000181706622,3.6825426e-05,3.8378872e-05
17,4.2469241e-05,0.000181701034,3.7196092e-05,3.8154423e-05
18,4.2182393e-05,0.000181490555,3.7424266e-05,3.8155355e-05
19,4.2036176e-05,0.000181524083,3.7566759e-05,3.819447e-05
19,4.2036176e-05,0.000181524083,3.7566759e-05,3.819447e-05
20,4.1775405e-05,0.000181186944,3.8010068e-05,3.8472936e-05
20,4.1775405e-05,0.000181186944,3.8010068e-05,3.8472936e-05
22,4.1821972e-05,0.0001811767,3.8132071e-05,3.8565136e-05
23,4.1820109e-05,0.000181246549,3.8338825e-05,3.8327649e-05
25,4.185643e-05,0.000181196257,3.7836842e-05,3.823638e-05
26,4.1993335e-05,0.000181323849,3.7836842e-05,3.823638e-05
27,4.214514e-05,0.000181584619,3.7384219e-05,3.8619153e-05
28,4.2230822e-05,0.000181542709,3.6609359e-05,3.8619153e-05
29,4.2522326e-05,0.000181521289,3.6609359e-05,3.8440339e-05
30,4.222896e-05,0.000181432813,3.6367215e-05,3.8328581e-05
31,4.244782e-05,0.000181939453,3.6534853e-05,3.8266182e-05
32,4.2266212e-05,0.00018169824,3.6302023e-05,3.8218684e-05
33,4.244782e-05,0.000181843527,3.6529265e-05,3.8294122e-05
34,4.2410567e-05,0.000181638636,3.6522746e-05,3.8294122e-05
35,4.2367727e-05,0.000181864016,3.6858954e-05,3.8338825e-05
36,4.2428263e-05,0.00018162746,3.644824e-05,3.8435683e-05
37,4.2362139e-05,0.000182085671,3.6899932e-05,3.8449652e-05
38,4.2593107e-05,0.000183113851,3.6903657e-05,3.8409606e-05
39,4.2593107e-05,0.00018499326,3.7583522e-05,3.8409606e-05
41,4.3942593e-05,0.000188161619,3.8824044e-05,3.7585385e-05
42,4.4227578e-05,0.000190417282,3.9355829e-05,3.6763959e-05
43,4.454609e-05,0.000190912746,4.0099956e-05,3.6787242e-05
44,4.3900684e-05,0.000190332532,4.0900894e-05,3.5305507e-05
45,4.1981228e-05,0.000187281519,4.0551648e-05,3.4254044e-05
46,4.1895546e-05,0.000189354643,3.273692e-05,3.4254044e-05
47,4.1183084e-05,0.000189354643,2.5092624e-05,2.2782013e-05
48,4.1183084e-05,0.000177301466,3.3440068e-05,2.2782013e-05
49,2.9292889e-05,0.00016173441,3.3440068e-05,1.9960105e-05
50,2.6319176e-05,0.000154605135,1.7275102e-05,1.2312084e-05
52,1.8500723e-05,0.000144142658,1.9753352e-05,6.412156e-06
53,1.9241124e-05,0.000144142658,1.6502105e-05,6.412156e-06
53,1.9241124e-05,0.000145687722,1.6502105e-05,7.574446e-06
54,1.9666739e-05,0.000145125203,1.8603168e-05,7.613562e-06
54,1.9666739e-05,0.000145125203,1.8603168e-05,7.613562e-06
55,1.8680468e-05,0.0001433203,1.7515384e-05,7.352792e-06
56,1.9690022e-05,0.000143571757,1.9089319e-05,7.954426e-06
58,1.9640662e-05,0.000143419951,1.8390827e-05,7.576309e-06
59,1.9611791e-05,0.00014300365,1.7959625e-05,7.422641e-06
60,1.9523315e-05,0.000142891891,1.7439947e-05,7.052906e-06
61,1.9144267e-05,0.000142361037,1.8140301e-05,7.559545e-06
62,1.9812025e-05,0.000143232755,1.7958693e-05,7.599592e-06
63,2.0087697e-05,0.000143668614,1.7958693e-05,7.599592e-06
64,1.9364059e-05,0.000143623911,1.8061139e-05,7.406808e-06
65,1.9581988e-05,0.000143771991,1.7466955e-05,7.129274e-06
66,1.9335188e-05,0.000143117271,1.8136576e-05,7.36583e-06
67,1.9622035e-05,0.000143374316,1.7800368e-05,7.249415e-06
68,1.9845553e-05,0.000143760815,1.797732e-05,7.341616e-06
68,1.9845553e-05,0.000143760815,1.797732e-05,7.341616e-06
69,1.9560568e-05,0.000143464655,1.8221326e-05,7.426366e-06
70,1.9485131e-05,0.000143680722,1.7857179e-05,7.614493e-06
71,1.9823201e-05,0.000143425539,1.7969869e-05,7.502735e-06
72,1.9314699e-05,0.000143089332,1.8220395e-05,7.564202e-06
73,1.9727275e-05,0.000143436715,1.8161722e-05,7.286668e-06
74,1.9575469e-05,0.000143314712,1.830887e-05,7.474795e-06
75,1.9597821e-05,0.000143579207,1.8117018e-05,7.500872e-06
76,1.9556843e-05,0.000143424608,1.7899089e-05,7.559545e-06
76,1.9556843e-05,0.000143424608,1.7899089e-05,7.559545e-06
76,1.9556843e-05,0.000143424608,1.7899089e-05,7.559545e-06
77,1.9807369e-05,0.000143362209,1.7946586e-05,7.373281e-06
78,1.9462779e-05,0.000143351965,1.7988496e-05,7.270835e-06
79,1.9764528e-05,0.000143698417,1.8109567e-05,7.240102e-06
79,1.9764528e-05,0.000143698417,1.8109567e-05,7.240102e-06
80,1.9640662e-05,0.000143510289,1.7796643e-05,7.286668e-06
81,1.9643456e-05,0.000143533573,1.7988496e-05,7.5344e-06
82,1.9429252e-05,0.000143350102,1.7757528e-05,7.348135e-06
82,1.9429252e-05,0.000143350102,1.7757528e-05,7.348135e-06
83,1.9553117e-05,0.000143639743,1.8035062e-05,7.406808e-06
84,1.9738451e-05,0.000143470243,1.7824583e-05,7.377937e-06
85,1.9648112e-05,0.000143673271,1.8128194e-05,7.510185e-06
86,1.9730069e-05,0.000143224373,1.7976388e-05,7.455237e-06
87,1.9581057e-05,0.000143272802,1.8132851e-05,7.563271e-06
88,1.9636936e-05,0.00014325045,1.797732e-05,7.554889e-06
89,1.9594096e-05,0.000143282115,1.8105842e-05,7.337891e-06
90,1.9674189e-05,0.00014335569,1.7982908e-05,7.469207e-06
91,1.9748695e-05,0.000143540092,1.8212944e-05,7.454306e-06
92,1.9703992e-05,0.000143473037,1.791399e-05,7.400289e-06
93,1.966022e-05,0.000143495388,1.792796e-05,7.404946e-06
94,1.9568019e-05,0.000143460929,1.7844141e-05,7.226132e-06
95,1.9563362e-05,0.000143557787,1.8077902e-05,7.430092e-06
96,1.9674189e-05,0.000143536367,1.7870218e-05,7.227063e-06
96,1.9674189e-05,0.000143536367,1.7870218e-05,7.227063e-06
97,1.9438565e-05,0.000143632293,1.801271e-05,7.503666e-06
97,1.9438565e-05,0.000143632293,1.801271e-05,7.503666e-06
98,1.9751489e-05,0.00014355313,1.7846934e-05,7.266179e-06
99,1.9579194e-05,0.000143299811,1.7948449e-05,7.296912e-06
100,1.9712374e-05,0.000143499114,1.7917715e-05,7.481314e-06
101,1.9563362e-05,0.000143328682,1.799874e-05,7.50646e-06
102,1.981575e-05,0.000143332407,1.8272549e-05,7.447787e-06
103,1.9570813e-05,0.000143141486,1.8024817e-05,7.403083e-06
104,1.9682571e-05,0.000143413432,1.7940998e-05,7.289462e-06
105,1.9619241e-05,0.000143258832,1.7922372e-05,7.401221e-06
106,1.968164e-05,0.000143447891,1.8123537e-05,7.463619e-06
107,1.954101e-05,0.000143111683,1.7906539e-05,7.377937e-06
108,1.9536354e-05,0.000143554062,1.8173829e-05,7.369556e-06
109,1.9553117e-05,0.00014315825,1.7909333e-05,7.333234e-06
110,1.9755214e-05,0.000143455341,1.8035062e-05,7.300638e-06
111,1.9631349e-05,0.000143365003,1.8049963e-05,7.422641e-06
112,1.969561e-05,0.000143405981,1.7959625e-05,7.400289e-06
113,1.9512139e-05,0.000143416226,1.7774291e-05,7.181428e-06
114,1.9486994e-05,0.000143398531,1.8010847e-05,7.399358e-06
115,1.9706786e-05,0.000143569894,1.7841347e-05,7.152557e-06
116,1.9472092e-05,0.000143413432,1.8090941e-05,7.42916e-06
117,1.9663014e-05,0.000143346377,1.7918646e-05,7.289462e-06
118,1.9543804e-05,0.00014339108,1.8096529e-05,7.589348e-06
119,1.9763596e-05,0.000143527985,1.8105842e-05,7.26711e-06
119,1.9763596e-05,0.000143527985,1.8105842e-05,7.26711e-06
120,1.9566156e-05,0.000143359415,1.8064864e-05,7.444061e-06
121,1.9701198e-05,0.000143384561,1.8027611e-05,7.263385e-06
122,1.9540079e-05,0.000143402256,1.79708e-05,7.380731e-06
123,1.9751489e-05,0.000143332407,1.8109567e-05,7.236376e-06
124,1.9483268e-05,0.000143209472,1.8187799e-05,7.321127e-06
