,ch0,ch1,ch2,ch3
8,4.0239654e-05,0.000179087743,4.0284358e-05,0.0
10,4.0424056e-05,0.000179100782,4.0255487e-05,3.9470382e-05
11,4.0254556e-05,0.000179100782,4.0255487e-05,3.9470382e-05
12,4.0290877e-05,0.000179040246,4.0043145e-05,3.9378181e-05
13,4.0313229e-05,0.000179206021,4.0251762e-05,3.9315782e-05
14,4.0424988e-05,0.000179206021,4.0357932e-05,3.934931e-05
15,4.0336512e-05,0.00017910637,4.0131621e-05,3.9337203e-05
16,4.0544197e-05,0.00017910637,4.0131621e-05,3.9337203e-05
17,4.0274113e-05,0.000179154798,4.0037557e-05,3.9399602e-05
18,4.0473416e-05,0.000179093331,4.022941e-05,3.93847e-05
19,4.0373765e-05,0.000179093331,4.022941e-05,3.93847e-05
20,4.043337e-05,0.000178999268,4.0184706e-05,3.9429404e-05
21,4.0254556e-05,0.00017914176,4.0200539e-05,3.9163977e-05
22,4.055351e-05,0.000179115683,4.0287152e-05,3.931392e-05
24,4.0524639e-05,0.000179065391,4.0343031e-05,3.9506704e-05
25,4.035607e-05,0.000179065391,4.0343031e-05,3.9506704e-05
29,4.053209e-05,0.000179257244,4.0054321e-05,3.9241277e-05
30,4.043337e-05,0.000179004855,4.0159561e-05,3.9322302e-05
31,4.0225685e-05,0.000179264694,4.0128827e-05,3.9329752e-05
32,4.045479e-05,0.000179264694,4.0095299e-05,3.934186e-05
33,4.0392391e-05,0.00017921254,4.02648e-05,3.9425679e-05
34,4.0332787e-05,0.00017921254,4.02648e-05,3.9425679e-05
36,4.0458515e-05,0.000179216266,4.0392391e-05,3.9536506e-05
37,4.0302984e-05,0.000179038383,4.0248968e-05,3.9285049e-05
38,4.053209e-05,0.000179083087,4.0188432e-05,3.9339997e-05
40,4.0451996e-05,0.000179027207,4.0087849e-05,3.9407052e-05
41,4.0579587e-05,0.000179040246,4.02648e-05,3.9515086e-05
42,4.0432438e-05,0.000179115683,4.0183775e-05,3.9230101e-05
43,4.0573999e-05,0.000179115683,4.0386803e-05,3.9506704e-05
45,4.0411018e-05,0.000179121271,4.0148385e-05,3.9492734e-05
47,4.059542e-05,0.000179189257,4.0294603e-05,3.942661e-05
48,4.0305778e-05,0.000179165043,4.025083e-05,3.942661e-05
49,4.0495768e-05,0.000179054216,4.0157698e-05,3.9515086e-05
50,4.0321611e-05,0.000179054216,4.0269457e-05,3.9515086e-05
51,4.0642917e-05,0.000179235823,4.0269457e-05,3.9310195e-05
52,4.0221959e-05,0.000179359689,4.0268525e-05,3.9277598e-05
54,4.0362589e-05,0.000179220922,4.0158629e-05,3.9356761e-05
55,4.0610321e-05,0.000179220922,4.0276907e-05,3.9356761e-05
57,4.0562823e-05,0.000179101713,4.0273182e-05,3.9404258e-05
60,4.0492974e-05,0.000179267488,4.0305778e-05,3.9408915e-05
61,4.0365383e-05,0.00017912779,4.0305778e-05,3.9408915e-05
62,4.0388666e-05,0.00017912779,4.0225685e-05,3.9637089e-05
63,4.0383078e-05,0.000179035589,4.0303916e-05,3.9231032e-05
64,4.0531158e-05,0.000179153867,4.0048733e-05,3.9231032e-05
65,3.9217062e-05,0.000179153867,4.041288e-05,3.8756989e-05
66,3.8082711e-05,0.000179027207,4.1226856e-05,3.8756989e-05
67,3.8478523e-05,0.000179027207,4.5707449e-05,3.9540231e-05
68,3.781449e-05,0.00017903652,4.75673e-05,3.9718114e-05
69,3.7482008e-05,0.000176661648,5.1220879e-05,4.0709972e-05
70,3.914535e-05,0.000182039104,5.1056966e-05,4.0709972e-05
71,3.8697384e-05,0.000179966912,5.0283968e-05,4.4244342e-05
72,3.6164187e-05,0.00017824769,5.1346608e-05,3.758166e-05
75,2.9226765e-05,0.000176231377,2.863165e-05,1.8157065e-05
76,2.2278167e-05,0.000160066411,2.7643517e-05,1.1955388e-05
77,2.2278167e-05,0.000160066411,1.8960796e-05,8.634292e-06
78,1.9508414e-05,0.000139822252,1.9337051e-05,6.468035e-06
79,2.1440908e-05,0.000145769678,1.9337051e-05,7.793307e-06
80,1.8272549e-05,0.000144924037,1.7433427e-05,6.405637e-06
81,1.9171275e-05,0.000144924037,1.8569641e-05,6.696209e-06
81,1.9171275e-05,0.000142610632,1.8569641e-05,6.696209e-06
82,2.0531937e-05,0.000143980607,1.7215498e-05,6.975606e-06
83,1.9134954e-05,0.000144162215,1.7215498e-05,6.975606e-06
84,1.9393861e-05,0.000142593868,1.7995015e-05,6.597489e-06
86,1.9493513e-05,0.000143481418,1.8183142e-05,7.326715e-06
87,1.9344501e-05,0.000143481418,1.8081628e-05,6.793998e-06
88,1.9344501e-05,0.000142893754,1.8081628e-05,6.997958e-06
88,1.9451603e-05,0.000142549165,1.8191524e-05,6.997958e-06
89,2.0107254e-05,0.000143092126,1.8659979e-05,7.766299e-06
90,1.9996427e-05,0.000143698417,1.7944723e-05,7.772818e-06
92,1.9263476e-05,0.000142958947,1.8055551e-05,6.690621e-06
93,2.0325184e-05,0.000143290497,1.8201768e-05,7.472932e-06
94,1.9960105e-05,0.000143965706,1.8201768e-05,7.472932e-06
97,1.9932166e-05,0.000143719837,1.7892569e-05,7.384457e-06
98,1.9625761e-05,0.000143465586,1.8244609e-05,7.322058e-06
99,2.0011328e-05,0.000143255107,1.8250197e-05,7.303432e-06
100,1.9498169e-05,0.000143372454,1.8225983e-05,7.11903e-06
101,1.9715168e-05,0.000143121928,1.8338673e-05,7.212162e-06
102,1.9581057e-05,0.000143500045,1.8242747e-05,7.227063e-06
103,1.9961968e-05,0.000143080018,1.8239953e-05,7.39377e-06
105,1.9810162e-05,0.000143310055,1.7926097e-05,7.141382e-06
107,1.9982457e-05,0.000143470243,1.7886981e-05,7.262453e-06
108,1.9838102e-05,0.000144019723,1.8107705e-05,7.262453e-06
109,1.9718893e-05,0.000143376179,1.8038787e-05,7.066876e-06
109,1.9718893e-05,0.000143376179,1.8038787e-05,7.066876e-06
110,1.9760802e-05,0.000143384561,1.8105842e-05,7.401221e-06
111,1.9839965e-05,0.000143686309,1.8055551e-05,7.099472e-06
112,1.9839965e-05,0.000143839978,1.8084422e-05,7.484108e-06
113,1.9670464e-05,0.000143398531,1.811143e-05,6.984919e-06
115,1.9645318e-05,0.000143150799,1.8055551e-05,7.082708e-06
116,1.9848347e-05,0.000143225305,1.833681e-05,7.459894e-06
117,1.9629486e-05,0.000143376179,1.8184073e-05,7.366762e-06
118,1.9882806e-05,0.000143394805,1.8299557e-05,7.314608e-06
119,1.9559637e-05,0.000143385492,1.8129125e-05,7.095747e-06
120,1.9796193e-05,0.000143398531,1.8129125e-05,7.095747e-06
121,1.9650906e-05,0.000143434852,1.8269755e-05,7.156283e-06
123,1.9784085e-05,0.000143671408,1.7995946e-05,7.059425e-06
124,1.9877218e-05,0.000143671408,1.80481e-05,7.162802e-06
124,1.9877218e-05,0.00014327094,1.80481e-05,7.162802e-06
125,1.9691885e-05,0.000143532641,1.818873e-05,7.112511e-06
126,1.9721687e-05,0.00014343299,1.8109567e-05,7.332303e-06
127,1.968164e-05,0.000143514946,1.8239953e-05,7.167459e-06
128,1.9873492e-05,0.000143297948,1.8265098e-05,7.185154e-06
129,1.9712374e-05,0.000143606216,1.816079e-05,7.185154e-06
130,1.975894e-05,0.000143316574,1.7995946e-05,7.309951e-06
131,1.9656494e-05,0.000143419951,1.8321909e-05,7.293187e-06
132,1.9855797e-05,0.000143243931,1.8032268e-05,7.155351e-06
132,1.9855797e-05,0.000143243931,1.8032268e-05,7.155351e-06
134,1.976639e-05,0.000143450685,1.7957762e-05,7.181428e-06
135,1.977291e-05,0.000143538229,1.8132851e-05,7.181428e-06
136,1.9763596e-05,0.000143321231,1.8094666e-05,7.318333e-06
137,1.9832514e-05,0.000143432058,1.8195249e-05,7.18236e-06
137,1.9832514e-05,0.000143432058,1.8195249e-05,7.18236e-06
139,1.987908e-05,0.000143514015,1.8087216e-05,7.107854e-06
140,1.9615516e-05,0.000143241137,1.8058345e-05,7.11903e-06
141,1.9936822e-05,0.000143392012,1.8391758e-05,7.266179e-06
142,1.9652769e-05,0.000143284909,1.8391758e-05,7.084571e-06
143,1.9899569e-05,0.000143339857,1.8184073e-05,7.24569e-06
145,1.9902363e-05,0.000143416226,1.8063001e-05,6.95698e-06
146,1.9631349e-05,0.000143416226,1.830142e-05,7.160939e-06
146,1.9631349e-05,0.000143473968,1.8074177e-05,7.160939e-06
147,1.9929372e-05,0.000143392943,1.8136576e-05,7.311814e-06
148,1.9629486e-05,0.000143610872,1.8168241e-05,7.207505e-06
149,1.9882806e-05,0.000143358484,1.8088147e-05,7.366762e-06
150,1.9540079e-05,0.000143378042,1.8140301e-05,7.170253e-06
151,1.9774772e-05,0.000143353827,1.8147752e-05,7.292256e-06
152,1.9685365e-05,0.000143528916,1.826603e-05,7.127412e-06
153,1.9832514e-05,0.000143317506,1.8033199e-05,7.271767e-06
154,1.9697472e-05,0.000143475831,1.83722e-05,7.286668e-06
155,8.8389963e-05,0.000143211335,1.8283725e-05,7.425435e-06
156,4.2108819e-05,0.000211616047,6.3811429e-05,1.5195459e-05
157,6.2781386e-05,0.000250456855,3.3317134e-05,3.5718083e-05
158,2.8757378e-05,0.000227203593,4.5707449e-05,1.5237369e-05
159,4.6826899e-05,0.000236417167,1.7277896e-05,1.5373342e-05
160,5.1494688e-05,0.000182873569,5.510636e-06,1.2032688e-05
161,2.518855e-05,0.000243185088,4.6842732e-05,-1.8872321e-05
162,4.0032901e-05,0.000230400823,2.094917e-05,3.1248666e-05
163,6.585382e-06,0.000207659788,4.9992464e-05,2.9147603e-05
164,3.1010248e-05,0.000156214461,4.9156137e-05,5.1653013e-05
165,5.0476752e-05,0.00014816504,1.231581e-05,3.2565556e-05
166,5.398877e-05,0.000176421367,4.5229681e-05,4.6590343e-05
167,5.0084665e-05,0.000184172764,3.6883168e-05,4.5505352e-05
168,3.9751641e-05,0.000190177932,2.9405579e-05,3.5409816e-05
168,3.9751641e-05,0.000190177932,2.9405579e-05,3.5409816e-05
169,3.9281324e-05,0.00019381661,3.7177466e-05,4.1413121e-05
170,3.3464283e-05,0.000183743425,2.9562972e-05,3.6521815e-05
170,3.3464283e-05,0.000183743425,2.9562972e-05,3.6521815e-05
171,4.3354928e-05,0.000170288607,3.3517368e-05,4.4662505e-05
172,5.3114258e-05,0.000176176429,2.9504299e-05,4.6483241e-05
173,4.3098815e-05,0.000188895501,2.973713e-05,3.7052669e-05
174,3.7005171e-05,0.000176502392,3.7727877e-05,3.5924837e-05
175,4.4264831e-05,0.00017524045,3.7482008e-05,3.5636127e-05
176,5.3181313e-05,0.000183428638,3.7264079e-05,4.5243651e-05
177,4.7744252e-05,0.000184559263,3.1407923e-05,4.2391941e-05
178,3.8309023e-05,0.000185733661,3.3216551e-05,3.5723671e-05
179,4.0787272e-05,0.000174893066,3.3073127e-05,3.6862679e-05
180,4.7753565e-05,0.000182847492,3.2921322e-05,4.0508807e-05
181,4.5931898e-05,0.000188448466,3.5232864e-05,4.5029446e-05
182,4.0242448e-05,0.000179299153,3.4551136e-05,3.8176775e-05
183,4.2816624e-05,0.000175178982,3.4330413e-05,3.7758611e-05
184,4.5908615e-05,0.000179670751,3.3902004e-05,4.048273e-05
184,4.5908615e-05,0.000179670751,3.3902004e-05,4.048273e-05
185,4.3833628e-05,0.000182637013,3.614556e-05,4.0784478e-05
186,4.4642016e-05,0.000180101022,3.6289915e-05,4.1918829e-05
186,4.4642016e-05,0.000180101022,3.6289915e-05,4.1918829e-05
186,4.4642016e-05,0.000180101022,3.6289915e-05,4.1918829e-05
187,4.4374727e-05,0.000181066804,3.3628196e-05,4.0253624e-05
188,4.2021275e-05,0.000181301497,3.3165328e-05,3.843382e-05
189,4.3516047e-05,0.000178812072,3.3038668e-05,3.9561652e-05
189,4.3516047e-05,0.000178812072,3.3038668e-05,3.9561652e-05
190,4.6019442e-05,0.000181391835,3.4182332e-05,4.117284e-05
191,4.5114197e-05,0.000183587894,3.4336932e-05,4.141219e-05
192,4.232116e-05,0.000180209987,3.3038668e-05,3.7698075e-05
193,4.3686479e-05,0.000178706832,3.3684075e-05,3.8944185e-05
194,4.5824796e-05,0.000180263072,3.4467317e-05,4.0591694e-05
194,4.5824796e-05,0.000180263072,3.4467317e-05,4.0591694e-05
195,4.5708381e-05,0.000183265656,3.4636818e-05,4.1324645e-05
196,4.2471103e-05,0.000181978568,3.4408644e-05,3.9623119e-05
197,4.228577e-05,0.000178607181,3.4148805e-05,3.8295053e-05
198,4.4351444e-05,0.000179409981,3.4299679e-05,4.0525571e-05
199,4.5522116e-05,0.000181471929,3.4676865e-05,4.1851774e-05
199,4.5522116e-05,0.000181471929,3.4676865e-05,4.1851774e-05
200,4.7633424e-05,0.00018492341,3.6410056e-05,3.8210303e-05
201,5.380623e-05,0.000202522613,3.6888756e-05,3.8336031e-05
202,4.6777539e-05,0.000208731741,3.5683624e-05,3.7474558e-05
202,4.6777539e-05,0.000208731741,3.5683624e-05,3.7474558e-05
203,3.5569072e-05,0.000192307867,3.1213276e-05,3.0053779e-05
203,3.5569072e-05,0.000192307867,3.1213276e-05,3.0053779e-05
203,3.5569072e-05,0.000192307867,3.1213276e-05,3.0053779e-05
203,3.5569072e-05,0.000192307867,3.1213276e-05,3.0053779e-05
204,3.9723702e-05,0.000187452883,4.127901e-05,3.0053779e-05
204,3.9723702e-05,0.000187452883,4.127901e-05,2.3097731e-05
205,4.1056424e-05,0.00019002147,4.682783e-05,3.5514124e-05
206,3.6855228e-05,0.00018288102,4.5836903e-05,3.1430274e-05
207,3.2067299e-05,0.000174546614,3.5684556e-05,2.1581538e-05
208,2.7451664e-05,0.00016853679,2.8358772e-05,1.6370788e-05
209,2.115313e-05,0.00015983358,2.4720095e-05,1.0947697e-05
210,1.6901642e-05,0.000145182014,2.2629276e-05,6.897375e-06
210,1.6901642e-05,0.000145182014,2.2629276e-05,6.897375e-06
211,1.9932166e-05,0.000140223652,1.9065104e-05,6.660819e-06
211,1.9932166e-05,0.000140223652,1.9065104e-05,6.660819e-06
212,2.1150336e-05,0.000142789446,1.8237159e-05,8.486211e-06
213,1.9525178e-05,0.000143568963,1.8233433e-05,7.756054e-06
214,1.8361956e-05,0.00014198292,1.7711893e-05,6.110407e-06
215,1.9635074e-05,0.000141642988,1.7962418e-05,6.982125e-06
215,1.9635074e-05,0.000141642988,1.7962418e-05,6.982125e-06
216,2.1275133e-05,0.00014317967,1.8007122e-05,8.550473e-06
217,1.9426458e-05,0.000143948942,1.7537735e-05,7.656403e-06
218,1.870282e-05,0.000142570585,1.7974526e-05,6.787479e-06
218,1.870282e-05,0.000142570585,1.7974526e-05,6.787479e-06
219,1.9640662e-05,0.000142238103,1.7777085e-05,6.664544e-06
220,2.0080246e-05,0.00014398247,1.8236227e-05,7.621013e-06
220,2.0080246e-05,0.00014398247,1.8236227e-05,7.621013e-06
221,1.9370578e-05,0.000143847428,1.8218532e-05,7.384457e-06
222,1.9919127e-05,0.000143475831,1.8053688e-05,7.491559e-06
223,1.9581057e-05,0.000143777579,1.7866492e-05,7.123686e-06
224,1.9731e-05,0.00014372915,1.7805956e-05,7.026829e-06
224,1.9731e-05,0.00014372915,1.7805956e-05,7.026829e-06
225,1.9478612e-05,0.000143998303,1.799874e-05,6.9011e-06
226,1.9943342e-05,0.000143758953,1.808349e-05,7.313676e-06
227,1.9592233e-05,0.0001438912,1.8090941e-05,7.123686e-06
228,1.9556843e-05,0.000143413432,1.7928891e-05,6.981194e-06
229,1.9711442e-05,0.0001433203,1.802016e-05,7.314608e-06
230,2.0454638e-05,0.000143425539,1.8102117e-05,7.851049e-06
231,1.9726343e-05,0.000143909827,1.8186867e-05,7.529743e-06
232,1.9120052e-05,0.000143104233,1.8010847e-05,6.902032e-06
233,1.9541942e-05,0.000142719597,1.8318184e-05,7.292256e-06
234,2.0172447e-05,0.00014315825,1.821667e-05,7.562339e-06
235,1.9676983e-05,0.000143669546,1.815334e-05,7.553026e-06
236,1.9553117e-05,0.000143128447,1.8010847e-05,7.081777e-06
237,1.9813888e-05,0.000143507496,1.8138438e-05,7.356517e-06
237,1.9813888e-05,0.000143507496,1.8138438e-05,7.356517e-06
237,1.9813888e-05,0.000143507496,1.8138438e-05,7.356517e-06
238,1.9763596e-05,0.000143502839,1.8084422e-05,7.345341e-06
239,1.9690022e-05,0.000143494457,1.8158928e-05,7.297844e-06
239,1.9690022e-05,0.000143494457,1.8158928e-05,7.297844e-06
239,1.9690022e-05,0.000143494457,1.8158928e-05,7.297844e-06
240,1.9569881e-05,0.000143528916,1.7884187e-05,6.886199e-06
241,1.9643456e-05,0.000143781304,1.7911196e-05,7.034279e-06
242,1.9615516e-05,0.00014360249,1.7989427e-05,7.060356e-06
242,1.9615516e-05,0.00014360249,1.7989427e-05,7.060356e-06
243,1.9878149e-05,0.000143583864,1.7917715e-05,7.308088e-06
244,1.9690022e-05,0.00014358107,1.7980114e-05,7.33044e-06
245,1.9663945e-05,0.00014367234,1.8069521e-05,7.208437e-06
246,1.9648112e-05,0.000143118203,1.8014573e-05,7.071532e-06
247,1.9817613e-05,0.000143143348,1.8233433e-05,7.389113e-06
247,1.9817613e-05,0.000143143348,1.8233433e-05,7.389113e-06
248,1.9666739e-05,0.000143331476,1.8207356e-05,7.356517e-06
249,1.9819476e-05,0.000143091194,1.8256716e-05,7.47852e-06
250,1.9569881e-05,0.000143485144,1.8105842e-05,7.193536e-06
251,1.9796193e-05,0.000143152662,1.8046238e-05,7.416122e-06
252,1.976639e-05,0.000143671408,1.813937e-05,7.339753e-06
253,1.9673258e-05,0.000143403187,1.7932616e-05,7.214025e-06
254,1.9676983e-05,0.00014351774,1.8055551e-05,7.012859e-06
256,1.9969419e-05,0.000143404119,1.7981045e-05,7.073395e-06
257,1.9706786e-05,0.000143695623,1.799874e-05,7.270835e-06
258,1.9818544e-05,0.000143566169,1.8053688e-05,7.186085e-06
259,1.966767e-05,0.000143529847,1.8053688e-05,7.256866e-06
260,1.9795261e-05,0.000143258832,1.7859973e-05,7.162802e-06
262,1.9726343e-05,0.000143083744,1.8113293e-05,7.240102e-06
263,1.9764528e-05,0.000143331476,1.8257648e-05,7.430092e-06
264,1.9833446e-05,0.000143331476,1.8257648e-05,7.430092e-06
266,1.9616447e-05,0.000143287703,1.8342398e-05,7.243827e-06
267,1.9947998e-05,0.000143372454,1.8090941e-05,7.319264e-06
268,1.9744039e-05,0.000143400393,1.8050894e-05,7.170253e-06
269,1.9810162e-05,0.000143505633,1.8050894e-05,7.21775e-06
270,1.9648112e-05,0.000143564306,1.7841347e-05,7.123686e-06
271,2.0078383e-05,0.000143564306,1.7841347e-05,7.123686e-06
272,9.669922e-06,0.000143654644,1.8046238e-05,7.435679e-06
274,7.3197298e-05,0.000310283154,-1.1840835e-05,5.9825368e-05
275,7.7093951e-05,0.000165455043,4.234724e-06,2.1023676e-05
277,-1.2859702e-05,0.000256923027,3.9038248e-05,-7.12462e-07
278,4.3642707e-05,0.000256923027,3.9038248e-05,-7.12462e-07
279,4.1335821e-05,0.00021261815,4.8967078e-05,4.1224062e-05
280,5.9626065e-05,0.000165711157,4.5514666e-05,3.0118041e-05
