,ch0,ch1,ch2,ch3
-7,4.3826178e-05,0.000177238137,4.006736e-05,0.0
-6,4.3832697e-05,0.000177362934,4.0127896e-05,0.0
-5,4.4107437e-05,0.000177280977,4.0855259e-05,3.8105063e-05
-4,4.382059e-05,0.00017714221,4.0050596e-05,3.739167e-05
-4,4.382059e-05,0.00017714221,4.0050596e-05,3.739167e-05
-3,4.398264e-05,0.000177356414,3.9869919e-05,3.7283637e-05
-2,4.3837354e-05,0.000177048147,3.9991923e-05,3.7463382e-05
-1,4.4089742e-05,0.000177232549,4.0013343e-05,3.7496909e-05
0,4.3747015e-05,0.000177002512,4.0109269e-05,3.7350692e-05
1,4.3829903e-05,0.000177149661,3.9981678e-05,3.7358142e-05
2,4.3798238e-05,0.000176939182,4.0232204e-05,3.7542544e-05
2,4.3798238e-05,0.000176939182,4.0232204e-05,3.7542544e-05
3,4.3923035e-05,0.00017739553,4.006736e-05,3.7442893e-05
4,4.3887645e-05,0.000177140348,4.0147454e-05,3.741309e-05
5,4.3706037e-05,0.000177197158,4.0002167e-05,3.7502497e-05
6,4.3889508e-05,0.000177064911,4.0105544e-05,3.7617981e-05
6,4.3889508e-05,0.000177064911,4.0105544e-05,3.7617981e-05
7,4.376471e-05,0.00017718412,3.996864e-05,3.732089e-05
8,4.4127926e-05,0.000177087262,4.0244311e-05,3.7561171e-05
9,4.3763779e-05,0.000177187845,4.0095299e-05,3.7346967e-05
9,4.3763779e-05,0.000177187845,4.0095299e-05,3.7346967e-05
10,4.391931e-05,0.000177116133,4.0101819e-05,3.7345104e-05
11,4.3848529e-05,0.000177175738,3.9854087e-05,3.7326477e-05
12,4.4083223e-05,0.000177175738,4.0167011e-05,3.7570484e-05
12,4.4083223e-05,0.000177226961,4.0167011e-05,3.7570484e-05
13,4.3787993e-05,0.000177038833,4.0026382e-05,3.7307851e-05
14,4.4093467e-05,0.000177231617,4.0000305e-05,3.753975e-05
15,4.3642707e-05,0.000177104957,4.003197e-05,3.7265942e-05
16,4.3966807e-05,0.000176683068,4.0214509e-05,3.7956983e-05
16,4.3966807e-05,0.000176683068,4.0214509e-05,3.7956983e-05
17,4.3148175e-05,0.00017610006,4.0513463e-05,3.7831254e-05
18,4.3362379e-05,0.000176200643,4.0617771e-05,3.7916005e-05
19,4.3280423e-05,0.000175749883,4.0649436e-05,3.8113445e-05
20,4.3645501e-05,0.000175796449,4.0878542e-05,3.8378872e-05
21,4.3664128e-05,0.000175788999,4.0772371e-05,3.8770959e-05
22,4.4013374e-05,0.000175819732,4.06662e-05,3.9038248e-05
23,4.4223852e-05,0.000175807625,4.0625222e-05,3.915187e-05
24,4.4789165e-05,0.000176802278,3.9965846e-05,3.8860366e-05
25,4.4911169e-05,0.000177135691,4.0015206e-05,3.8792379e-05
26,4.4418499e-05,0.000176880509,3.9907172e-05,3.814511e-05
27,4.3867156e-05,0.000176861882,4.0265732e-05,3.7661754e-05
28,4.3681823e-05,0.000177280977,4.014466e-05,3.7135556e-05
29,4.3846667e-05,0.00017717015,4.0274113e-05,3.7788413e-05
30,4.5446679e-05,0.000178118236,4.1374005e-05,4.1207299e-05
31,4.6173111e-05,0.00017938856,4.2471103e-05,4.2480417e-05
32,4.7627836e-05,0.00018073339,4.3672509e-05,4.6448782e-05
33,4.7417358e-05,0.000180127099,4.606694e-05,4.7827139e-05
34,4.8979186e-05,0.000182881951,4.6402216e-05,4.7659501e-05
35,5.3890981e-05,0.00018958468,4.6631321e-05,4.9419701e-05
35,5.3890981e-05,0.00018958468,4.6631321e-05,4.9419701e-05
36,5.6414865e-05,0.000191646628,4.9121678e-05,5.4060481e-05
37,5.2820891e-05,0.000185689889,4.8656017e-05,5.2035786e-05
38,4.7696754e-05,0.000181193464,5.0429255e-05,4.9107708e-05
39,4.9255788e-05,0.000181288458,4.3747015e-05,4.5713969e-05
40,4.5990571e-05,0.000179178081,3.8227066e-05,3.875792e-05
41,4.2547472e-05,0.000171777792,4.4032931e-05,4.2439438e-05
42,4.0634535e-05,0.000164050609,3.9415434e-05,3.6852434e-05
43,3.1762756e-05,0.000157933682,3.1800009e-05,2.7358532e-05
44,2.2802502e-05,0.000151385553,2.8452836e-05,1.7192215e-05
45,2.4748035e-05,0.000150495209,2.2577122e-05,2.0516105e-05
46,2.3787841e-05,0.000148945488,2.2732653e-05,1.8314458e-05
47,2.1195039e-05,0.000143660232,1.9093044e-05,1.2445264e-05
48,1.7683953e-05,0.0001442004,2.0206906e-05,8.787028e-06
49,1.9039027e-05,0.000146069564,2.1368265e-05,6.867573e-06
50,1.9016676e-05,0.000144448131,1.9024126e-05,8.613802e-06
51,1.7171726e-05,0.000142258592,1.9686297e-05,1.0106713e-05
52,1.8686056e-05,0.000142150559,1.822412e-05,9.12603e-06
53,1.878012e-05,0.000141492113,1.730863e-05,8.395873e-06
54,1.8318184e-05,0.000142061152,2.0126812e-05,8.409843e-06
55,1.8712133e-05,0.000143412501,1.9530766e-05,7.592142e-06
56,1.8593855e-05,0.000142575242,1.9781291e-05,9.510666e-06
56,1.8593855e-05,0.000142575242,1.9781291e-05,9.510666e-06
57,1.8154271e-05,0.000141613185,1.842808e-05,9.510666e-06
57,1.8154271e-05,0.000141613185,1.842808e-05,9.510666e-06
58,1.7959625e-05,0.000141818076,1.7207116e-05,8.609146e-06
59,1.8324703e-05,0.000142779201,1.7609447e-05,7.947907e-06
60,1.8686056e-05,0.000143618323,1.8586405e-05,8.543953e-06
60,1.8686056e-05,0.000143618323,1.8586405e-05,8.543953e-06
61,1.8279068e-05,0.000143026002,1.9515865e-05,8.879229e-06
62,1.8373132e-05,0.000142138451,1.9312836e-05,9.004958e-06
63,1.8006191e-05,0.000142361969,1.819618e-05,8.921139e-06
64,1.8534251e-05,0.000142628327,1.848489e-05,9.185635e-06
65,1.866743e-05,0.00014289096,1.8347055e-05,8.876435e-06
66,1.8199906e-05,0.00014306698,1.9100495e-05,8.632429e-06
67,1.821667e-05,0.000142209232,1.9523315e-05,8.362345e-06
68,1.8543564e-05,0.000142605044,1.8975697e-05,9.009615e-06
69,1.8261373e-05,0.000142809004,1.8630177e-05,8.963048e-06
69,1.8261373e-05,0.000142809004,1.8630177e-05,8.963048e-06
70,1.8695369e-05,0.000142626464,1.7933547e-05,8.813106e-06
71,1.8299557e-05,0.000142635778,1.8258579e-05,8.769333e-06
72,1.8369406e-05,0.00014267303,1.8759631e-05,8.405186e-06
73,1.8573366e-05,0.000142575242,1.8995255e-05,8.84477e-06
74,1.8643215e-05,0.000143064186,1.873821e-05,8.789822e-06
75,1.8061139e-05,0.000142389908,1.8731691e-05,8.816831e-06
76,1.8309802e-05,0.000142686069,1.8496998e-05,8.421019e-06
77,1.8369406e-05,0.000142546371,1.8809922e-05,8.680858e-06
77,1.8369406e-05,0.000142546371,1.8809922e-05,8.680858e-06
78,1.8642284e-05,0.000142498873,1.8901192e-05,8.891337e-06
79,1.8402934e-05,0.000142393634,1.8971041e-05,9.038486e-06
80,1.8213876e-05,0.000142605975,1.8971041e-05,8.623116e-06
80,1.8213876e-05,0.000142605975,1.8789433e-05,8.623116e-06
80,1.8213876e-05,0.000142605975,1.8789433e-05,8.623116e-06
81,1.8638559e-05,0.000142527744,1.886487e-05,8.895062e-06
82,1.8229708e-05,0.000142527744,1.8458813e-05,8.646399e-06
82,1.8229708e-05,0.000142657198,1.8458813e-05,8.646399e-06
83,1.8404797e-05,0.000142791308,1.8759631e-05,8.827075e-06
84,1.8530525e-05,0.000142826699,1.8656254e-05,8.868985e-06
84,1.8530525e-05,0.000142826699,1.8656254e-05,8.868985e-06
85,1.826603e-05,0.000142802484,1.8781982e-05,8.67527e-06
86,1.828745e-05,0.000142627396,1.8539838e-05,8.436851e-06
87,1.8684193e-05,0.00014284905,1.8687919e-05,9.052455e-06
88,1.8279068e-05,0.000142676756,1.8606894e-05,8.727424e-06
89,1.8557534e-05,0.000142654404,1.8608756e-05,8.754432e-06
90,1.8380582e-05,0.000142508186,1.8613413e-05,8.677132e-06
91,1.8382445e-05,0.000142816454,1.8904917e-05,8.861534e-06
92,1.8293969e-05,0.000142618082,1.8865801e-05,8.812174e-06
93,1.8293969e-05,0.000142456964,1.8776394e-05,8.923002e-06
93,1.8628314e-05,0.000142456964,1.8776394e-05,8.923002e-06
94,1.8246472e-05,0.000142397359,1.8813647e-05,8.815899e-06
95,1.842808e-05,0.000142641366,1.873821e-05,8.782372e-06
96,1.8390827e-05,0.000142608769,1.8804334e-05,8.739531e-06
97,1.8591061e-05,0.000142816454,1.8645078e-05,8.894131e-06
98,1.8368475e-05,0.000142487697,1.8720515e-05,8.64733e-06
99,1.8453225e-05,0.000142686069,1.8657185e-05,8.686446e-06
100,1.8502586e-05,0.000142705627,1.8750317e-05,8.768402e-06
100,1.8502586e-05,0.000142705627,1.8750317e-05,8.768402e-06
101,1.8564984e-05,0.000142875127,1.8637627e-05,8.645467e-06
102,1.8473715e-05,0.00014284905,1.8944964e-05,8.906238e-06
103,1.8494204e-05,0.000142838806,1.8736348e-05,8.782372e-06
104,1.8565916e-05,0.000142258592,1.8918887e-05,8.911826e-06
105,3.9390288e-05,0.000163067132,2.323091e-05,3.2381155e-05
106,6.8260357e-05,0.000231879763,1.4615245e-05,3.2931566e-05
107,0.000105547719,0.000295890495,4.1472726e-05,6.5881759e-05
108,0.000134503469,0.000295832753,9.7461976e-05,9.9790283e-05
109,7.2902068e-05,0.000212184153,8.0471858e-05,5.6046061e-05
110,2.1412037e-05,0.000161329284,3.7378632e-05,1.2469478e-05
111,3.947597e-05,0.000175775029,5.2210875e-05,1.9877218e-05
112,6.1183237e-05,0.000213584863,3.8373284e-05,4.3335371e-05
113,6.3627958e-05,0.000190686435,3.0171126e-05,5.5966899e-05
114,3.627874e-05,0.000167848542,4.5620836e-05,3.1600706e-05
116,4.2158179e-05,0.000173407607,4.1397288e-05,4.3372624e-05
117,4.565157e-05,0.000176617876,4.1397288e-05,4.3372624e-05
119,4.2339787e-05,0.000174401328,3.9675273e-05,3.5664067e-05
120,3.9138831e-05,0.000174401328,3.9675273e-05,3.5664067e-05
122,5.4466538e-05,0.000185076147,4.0451996e-05,4.312396e-05
124,3.9149076e-05,0.000176055357,3.9126724e-05,3.981404e-05
125,4.3859705e-05,0.000176696107,3.8643368e-05,3.1599775e-05
126,5.2252784e-05,0.000176696107,3.8316473e-05,4.0294603e-05
127,4.8929825e-05,0.000179396011,3.6760233e-05,3.9052218e-05
128,4.1097403e-05,0.000173427165,3.71309e-05,3.3802353e-05
129,4.2909756e-05,0.000178675167,3.6742538e-05,3.3294782e-05
131,4.8683025e-05,0.000179971568,3.6207959e-05,3.7850812e-05
134,4.6270899e-05,0.000177707523,3.9034523e-05,3.4815632e-05
135,4.575029e-05,0.00017750822,3.724359e-05,3.7059188e-05
136,4.6587549e-05,0.000179028139,3.9374456e-05,3.7977472e-05
137,4.7110952e-05,0.000179028139,3.9374456e-05,3.7977472e-05
141,4.8057176e-05,0.000180350617,3.8345344e-05,3.7724152e-05
142,4.4349581e-05,0.000179566443,3.7269667e-05,3.8458034e-05
143,4.3641776e-05,0.000176821835,3.7455e-05,3.4917146e-05
144,4.3641776e-05,0.000180708244,3.7455e-05,3.4917146e-05
145,4.8273243e-05,0.000180145726,3.7906691e-05,3.7971884e-05
146,4.4955872e-05,0.000177365728,3.7615187e-05,3.6585145e-05
147,4.3768436e-05,0.00017689541,3.8010068e-05,3.4873374e-05
148,4.6009198e-05,0.000179572031,3.7524849e-05,3.5937876e-05
149,4.6907924e-05,0.000178992748,3.7524849e-05,3.7196092e-05
150,4.6043657e-05,0.000178330578,3.809575e-05,3.6996789e-05
151,4.5934692e-05,0.000178330578,3.809575e-05,3.6996789e-05
152,4.6152622e-05,0.000178895891,3.8033351e-05,3.7071295e-05
153,4.7402456e-05,0.000178895891,3.8033351e-05,3.7071295e-05
154,5.4318458e-05,0.000181135722,4.06662e-05,4.0060841e-05
155,5.8297068e-05,0.000187424012,4.488416e-05,4.8226677e-05
157,6.3409097e-05,0.000204743817,4.7877431e-05,5.6993216e-05
159,5.3195283e-05,0.000188925304,5.0858594e-05,4.9073249e-05
161,4.7850423e-05,0.000184453093,4.5916997e-05,4.2779371e-05
162,4.2848289e-05,0.000177850015,3.8241968e-05,3.4031458e-05
163,3.6027282e-05,0.000169681385,3.3368357e-05,3.1727366e-05
164,3.1164847e-05,0.000164157711,3.2654963e-05,3.0438416e-05
165,2.9954128e-05,0.000164157711,3.2654963e-05,3.0438416e-05
166,1.9982457e-05,0.000148237683,2.5225803e-05,1.3520941e-05
